word;definition;synonym;part of speech;difficulty
word_89;definition of word_89;synonym of word_89;noun;B1
word_90;definition of word_90;synonym of word_90;noun;C2
word_91;definition of word_91;synonym of word_91;noun;B1
word_92;definition of word_92;synonym of word_92;noun;C2
word_93;definition of word_93;synonym of word_93;noun;B1
word_94;definition of word_94;synonym of word_94;noun;C2
word_95;definition of word_95;synonym of word_95;noun;B1
word_96;definition of word_96;synonym of word_96;noun;C2
word_97;definition of word_97;synonym of word_97;noun;B1
word_98;definition of word_98;synonym of word_98;noun;C2
word_99;definition of word_99;synonym of word_99;noun;B1
word_100;definition of word_100;synonym of word_100;noun;C2
word_101;definition of word_101;synonym of word_101;noun;B1
word_102;definition of word_102;synonym of word_102;noun;C2
word_103;definition of word_103;synonym of word_103;noun;B1
word_104;definition of word_104;synonym of word_104;noun;C2
word_105;definition of word_105;synonym of word_105;noun;B1
word_106;definition of word_106;synonym of word_106;noun;C2
word_107;definition of word_107;synonym of word_107;noun;B1
word_108;definition of word_108;synonym of word_108;noun;C2
word_109;definition of word_109;synonym of word_109;noun;B1
word_110;definition of word_110;synonym of word_110;noun;C2
word_111;definition of word_111;synonym of word_111;noun;B1
word_112;definition of word_112;synonym of word_112;noun;C2
word_113;definition of word_113;synonym of word_113;noun;B1
word_114;definition of word_114;synonym of word_114;noun;C2
word_115;definition of word_115;synonym of word_115;noun;B1
word_116;definition of word_116;synonym of word_116;noun;C2
word_117;definition of word_117;synonym of word_117;noun;B1
word_118;definition of word_118;synonym of word_118;noun;C2
word_119;definition of word_119;synonym of word_119;noun;B1
word_120;definition of word_120;synonym of word_120;noun;C2
word_121;definition of word_121;synonym of word_121;noun;B1
word_122;definition of word_122;synonym of word_122;noun;C2
word_123;definition of word_123;synonym of word_123;noun;B1
word_124;definition of word_124;synonym of word_124;noun;C2
word_125;definition of word_125;synonym of word_125;noun;B1
word_126;definition of word_126;synonym of word_126;noun;C2
word_127;definition of word_127;synonym of word_127;noun;B1
word_128;definition of word_128;synonym of word_128;noun;C2
word_129;definition of word_129;synonym of word_129;noun;B1
word_130;definition of word_130;synonym of word_130;noun;C2
word_131;definition of word_131;synonym of word_131;noun;B1
word_132;definition of word_132;synonym of word_132;noun;C2
word_133;definition of word_133;synonym of word_133;noun;B1
word_134;definition of word_134;synonym of word_134;noun;C2
word_135;definition of word_135;synonym of word_135;noun;B1
word_136;definition of word_136;synonym of word_136;noun;C2
word_137;definition of word_137;synonym of word_137;noun;B1
word_138;definition of word_138;synonym of word_138;noun;C2
word_139;definition of word_139;synonym of word_139;noun;B1
word_140;definition of word_140;synonym of word_140;noun;C2
word_141;definition of word_141;synonym of word_141;noun;B1
word_142;definition of word_142;synonym of word_142;noun;C2
word_143;definition of word_143;synonym of word_143;noun;B1
word_144;definition of word_144;synonym of word_144;noun;C2
word_145;definition of word_145;synonym of word_145;noun;B1
word_146;definition of word_146;synonym of word_146;noun;C2
word_147;definition of word_147;synonym of word_147;noun;B1
word_148;definition of word_148;synonym of word_148;noun;C2
word_149;definition of word_149;synonym of word_149;noun;B1
word_150;definition of word_150;synonym of word_150;noun;C2
word_151;definition of word_151;synonym of word_151;noun;B1
word_152;definition of word_152;synonym of word_152;noun;C2
word_153;definition of word_153;synonym of word_153;noun;B1
word_154;definition of word_154;synonym of word_154;noun;C2
word_155;definition of word_155;synonym of word_155;noun;B1
word_156;definition of word_156;synonym of word_156;noun;C2
word_157;definition of word_157;synonym of word_157;noun;B1
word_158;definition of word_158;synonym of word_158;noun;C2
word_159;definition of word_159;synonym of word_159;noun;B1
word_160;definition of word_160;synonym of word_160;noun;C2
word_161;definition of word_161;synonym of word_161;noun;B1
word_162;definition of word_162;synonym of word_162;noun;C2
word_163;definition of word_163;synonym of word_163;noun;B1
word_164;definition of word_164;synonym of word_164;noun;C2
word_165;definition of word_165;synonym of word_165;noun;B1
word_166;definition of word_166;synonym of word_166;noun;C2
word_167;definition of word_167;synonym of word_167;noun;B1
word_168;definition of word_168;synonym of word_168;noun;C2
word_169;definition of word_169;synonym of word_169;noun;B1
word_170;definition of word_170;synonym of word_170;noun;C2
word_171;definition of word_171;synonym of word_171;noun;B1
word_172;definition of word_172;synonym of word_172;noun;C2
word_173;definition of word_173;synonym of word_173;noun;B1
word_174;definition of word_174;synonym of word_174;noun;C2
word_175;definition of word_175;synonym of word_175;noun;B1
word_176;definition of word_176;synonym of word_176;noun;C2
word_177;definition of word_177;synonym of word_177;noun;B1
word_178;definition of word_178;synonym of word_178;noun;C2
word_179;definition of word_179;synonym of word_179;noun;B1
word_180;definition of word_180;synonym of word_180;noun;C2
word_181;definition of word_181;synonym of word_181;noun;B1
word_182;definition of word_182;synonym of word_182;noun;C2
word_183;definition of word_183;synonym of word_183;noun;B1
word_184;definition of word_184;synonym of word_184;noun;C2
word_185;definition of word_185;synonym of word_185;noun;B1
word_186;definition of word_186;synonym of word_186;noun;C2
word_187;definition of word_187;synonym of word_187;noun;B1
word_188;definition of word_188;synonym of word_188;noun;C2
word_189;definition of word_189;synonym of word_189;noun;B1
word_190;definition of word_190;synonym of word_190;noun;C2
word_191;definition of word_191;synonym of word_191;noun;B1
word_192;definition of word_192;synonym of word_192;noun;C2
word_193;definition of word_193;synonym of word_193;noun;B1
word_194;definition of word_194;synonym of word_194;noun;C2
word_195;definition of word_195;synonym of word_195;noun;B1
word_196;definition of word_196;synonym of word_196;noun;C2
word_197;definition of word_197;synonym of word_197;noun;B1
word_198;definition of word_198;synonym of word_198;noun;C2
word_199;definition of word_199;synonym of word_199;noun;B1
word_200;definition of word_200;synonym of word_200;noun;C2
word_201;definition of word_201;synonym of word_201;noun;B1
word_202;definition of word_202;synonym of word_202;noun;C2
word_203;definition of word_203;synonym of word_203;noun;B1
word_204;definition of word_204;synonym of word_204;noun;C2
word_205;definition of word_205;synonym of word_205;noun;B1
word_206;definition of word_206;synonym of word_206;noun;C2
word_207;definition of word_207;synonym of word_207;noun;B1
word_208;definition of word_208;synonym of word_208;noun;C2
word_209;definition of word_209;synonym of word_209;noun;B1
word_210;definition of word_210;synonym of word_210;noun;C2
word_211;definition of word_211;synonym of word_211;noun;B1
word_212;definition of word_212;synonym of word_212;noun;C2
word_213;definition of word_213;synonym of word_213;noun;B1
word_214;definition of word_214;synonym of word_214;noun;C2
word_215;definition of word_215;synonym of word_215;noun;B1
word_216;definition of word_216;synonym of word_216;noun;C2
word_217;definition of word_217;synonym of word_217;noun;B1
word_218;definition of word_218;synonym of word_218;noun;C2
word_219;definition of word_219;synonym of word_219;noun;B1
word_220;definition of word_220;synonym of word_220;noun;C2
word_221;definition of word_221;synonym of word_221;noun;B1
word_222;definition of word_222;synonym of word_222;noun;C2
word_223;definition of word_223;synonym of word_223;noun;B1
word_224;definition of word_224;synonym of word_224;noun;C2
word_225;definition of word_225;synonym of word_225;noun;B1
word_226;definition of word_226;synonym of word_226;noun;C2
word_227;definition of word_227;synonym of word_227;noun;B1
word_228;definition of word_228;synonym of word_228;noun;C2
word_229;definition of word_229;synonym of word_229;noun;B1
word_230;definition of word_230;synonym of word_230;noun;C2
word_231;definition of word_231;synonym of word_231;noun;B1
word_232;definition of word_232;synonym of word_232;noun;C2
word_233;definition of word_233;synonym of word_233;noun;B1
word_234;definition of word_234;synonym of word_234;noun;C2
word_235;definition of word_235;synonym of word_235;noun;B1
word_236;definition of word_236;synonym of word_236;noun;C2
word_237;definition of word_237;synonym of word_237;noun;B1
word_238;definition of word_238;synonym of word_238;noun;C2
word_239;definition of word_239;synonym of word_239;noun;B1
word_240;definition of word_240;synonym of word_240;noun;C2
word_241;definition of word_241;synonym of word_241;noun;B1
word_242;definition of word_242;synonym of word_242;noun;C2
word_243;definition of word_243;synonym of word_243;noun;B1
word_244;definition of word_244;synonym of word_244;noun;C2
word_245;definition of word_245;synonym of word_245;noun;B1
word_246;definition of word_246;synonym of word_246;noun;C2
word_247;definition of word_247;synonym of word_247;noun;B1
word_248;definition of word_248;synonym of word_248;noun;C2
word_249;definition of word_249;synonym of word_249;noun;B1
word_250;definition of word_250;synonym of word_250;noun;C2
word_251;definition of word_251;synonym of word_251;noun;B1
word_252;definition of word_252;synonym of word_252;noun;C2
word_253;definition of word_253;synonym of word_253;noun;B1
word_254;definition of word_254;synonym of word_254;noun;C2
word_255;definition of word_255;synonym of word_255;noun;B1
word_256;definition of word_256;synonym of word_256;noun;C2
word_257;definition of word_257;synonym of word_257;noun;B1
word_258;definition of word_258;synonym of word_258;noun;C2
word_259;definition of word_259;synonym of word_259;noun;B1
word_260;definition of word_260;synonym of word_260;noun;C2
word_261;definition of word_261;synonym of word_261;noun;B1
word_262;definition of word_262;synonym of word_262;noun;C2
word_263;definition of word_263;synonym of word_263;noun;B1
word_264;definition of word_264;synonym of word_264;noun;C2
word_265;definition of word_265;synonym of word_265;noun;B1
word_266;definition of word_266;synonym of word_266;noun;C2
word_267;definition of word_267;synonym of word_267;noun;B1
word_268;definition of word_268;synonym of word_268;noun;C2
word_269;definition of word_269;synonym of word_269;noun;B1
word_270;definition of word_270;synonym of word_270;noun;C2
word_271;definition of word_271;synonym of word_271;noun;B1
word_272;definition of word_272;synonym of word_272;noun;C2
word_273;definition of word_273;synonym of word_273;noun;B1
word_274;definition of word_274;synonym of word_274;noun;C2
word_275;definition of word_275;synonym of word_275;noun;B1
word_276;definition of word_276;synonym of word_276;noun;C2
word_277;definition of word_277;synonym of word_277;noun;B1
word_278;definition of word_278;synonym of word_278;noun;C2
word_279;definition of word_279;synonym of word_279;noun;B1
word_280;definition of word_280;synonym of word_280;noun;C2
word_281;definition of word_281;synonym of word_281;noun;B1
word_282;definition of word_282;synonym of word_282;noun;C2
word_283;definition of word_283;synonym of word_283;noun;B1
word_284;definition of word_284;synonym of word_284;noun;C2
word_285;definition of word_285;synonym of word_285;noun;B1
word_286;definition of word_286;synonym of word_286;noun;C2
word_287;definition of word_287;synonym of word_287;noun;B1
word_288;definition of word_288;synonym of word_288;noun;C2
word_289;definition of word_289;synonym of word_289;noun;B1
word_290;definition of word_290;synonym of word_290;noun;C2
word_291;definition of word_291;synonym of word_291;noun;B1
word_292;definition of word_292;synonym of word_292;noun;C2
word_293;definition of word_293;synonym of word_293;noun;B1
word_294;definition of word_294;synonym of word_294;noun;C2
word_295;definition of word_295;synonym of word_295;noun;B1
word_296;definition of word_296;synonym of word_296;noun;C2
word_297;definition of word_297;synonym of word_297;noun;B1
word_298;definition of word_298;synonym of word_298;noun;C2
word_299;definition of word_299;synonym of word_299;noun;B1
word_300;definition of word_300;synonym of word_300;noun;C2
word_301;definition of word_301;synonym of word_301;noun;B1
word_302;definition of word_302;synonym of word_302;noun;C2
word_303;definition of word_303;synonym of word_303;noun;B1
word_304;definition of word_304;synonym of word_304;noun;C2
word_305;definition of word_305;synonym of word_305;noun;B1
word_306;definition of word_306;synonym of word_306;noun;C2
word_307;definition of word_307;synonym of word_307;noun;B1
word_308;definition of word_308;synonym of word_308;noun;C2
word_309;definition of word_309;synonym of word_309;noun;B1
word_310;definition of word_310;synonym of word_310;noun;C2
word_311;definition of word_311;synonym of word_311;noun;B1
word_312;definition of word_312;synonym of word_312;noun;C2
word_313;definition of word_313;synonym of word_313;noun;B1
word_314;definition of word_314;synonym of word_314;noun;C2
word_315;definition of word_315;synonym of word_315;noun;B1
word_316;definition of word_316;synonym of word_316;noun;C2
word_317;definition of word_317;synonym of word_317;noun;B1
word_318;definition of word_318;synonym of word_318;noun;C2
word_319;definition of word_319;synonym of word_319;noun;B1
word_320;definition of word_320;synonym of word_320;noun;C2
word_321;definition of word_321;synonym of word_321;noun;B1
word_322;definition of word_322;synonym of word_322;noun;C2
word_323;definition of word_323;synonym of word_323;noun;B1
word_324;definition of word_324;synonym of word_324;noun;C2
word_325;definition of word_325;synonym of word_325;noun;B1
word_326;definition of word_326;synonym of word_326;noun;C2
word_327;definition of word_327;synonym of word_327;noun;B1
word_328;definition of word_328;synonym of word_328;noun;C2
word_329;definition of word_329;synonym of word_329;noun;B1
word_330;definition of word_330;synonym of word_330;noun;C2
word_331;definition of word_331;synonym of word_331;noun;B1
word_332;definition of word_332;synonym of word_332;noun;C2
word_333;definition of word_333;synonym of word_333;noun;B1
word_334;definition of word_334;synonym of word_334;noun;C2
word_335;definition of word_335;synonym of word_335;noun;B1
word_336;definition of word_336;synonym of word_336;noun;C2
word_337;definition of word_337;synonym of word_337;noun;B1
word_338;definition of word_338;synonym of word_338;noun;C2
word_339;definition of word_339;synonym of word_339;noun;B1
word_340;definition of word_340;synonym of word_340;noun;C2
word_341;definition of word_341;synonym of word_341;noun;B1
word_342;definition of word_342;synonym of word_342;noun;C2
word_343;definition of word_343;synonym of word_343;noun;B1
word_344;definition of word_344;synonym of word_344;noun;C2
word_345;definition of word_345;synonym of word_345;noun;B1
word_346;definition of word_346;synonym of word_346;noun;C2
word_347;definition of word_347;synonym of word_347;noun;B1
word_348;definition of word_348;synonym of word_348;noun;C2
word_349;definition of word_349;synonym of word_349;noun;B1
word_350;definition of word_350;synonym of word_350;noun;C2
word_351;definition of word_351;synonym of word_351;noun;B1
word_352;definition of word_352;synonym of word_352;noun;C2
word_353;definition of word_353;synonym of word_353;noun;B1
word_354;definition of word_354;synonym of word_354;noun;C2
word_355;definition of word_355;synonym of word_355;noun;B1
word_356;definition of word_356;synonym of word_356;noun;C2
word_357;definition of word_357;synonym of word_357;noun;B1
word_358;definition of word_358;synonym of word_358;noun;C2
word_359;definition of word_359;synonym of word_359;noun;B1
word_360;definition of word_360;synonym of word_360;noun;C2
word_361;definition of word_361;synonym of word_361;noun;B1
word_362;definition of word_362;synonym of word_362;noun;C2
word_363;definition of word_363;synonym of word_363;noun;B1
word_364;definition of word_364;synonym of word_364;noun;C2
word_365;definition of word_365;synonym of word_365;noun;B1
word_366;definition of word_366;synonym of word_366;noun;C2
word_367;definition of word_367;synonym of word_367;noun;B1
word_368;definition of word_368;synonym of word_368;noun;C2
word_369;definition of word_369;synonym of word_369;noun;B1
word_370;definition of word_370;synonym of word_370;noun;C2
word_371;definition of word_371;synonym of word_371;noun;B1
word_372;definition of word_372;synonym of word_372;noun;C2
word_373;definition of word_373;synonym of word_373;noun;B1
word_374;definition of word_374;synonym of word_374;noun;C2
word_375;definition of word_375;synonym of word_375;noun;B1
word_376;definition of word_376;synonym of word_376;noun;C2
word_377;definition of word_377;synonym of word_377;noun;B1
word_378;definition of word_378;synonym of word_378;noun;C2
word_379;definition of word_379;synonym of word_379;noun;B1
word_380;definition of word_380;synonym of word_380;noun;C2
word_381;definition of word_381;synonym of word_381;noun;B1
word_382;definition of word_382;synonym of word_382;noun;C2
word_383;definition of word_383;synonym of word_383;noun;B1
word_384;definition of word_384;synonym of word_384;noun;C2
word_385;definition of word_385;synonym of word_385;noun;B1
word_386;definition of word_386;synonym of word_386;noun;C2
word_387;definition of word_387;synonym of word_387;noun;B1
word_388;definition of word_388;synonym of word_388;noun;C2
word_389;definition of word_389;synonym of word_389;noun;B1
word_390;definition of word_390;synonym of word_390;noun;C2
word_391;definition of word_391;synonym of word_391;noun;B1
word_392;definition of word_392;synonym of word_392;noun;C2
word_393;definition of word_393;synonym of word_393;noun;B1
word_394;definition of word_394;synonym of word_394;noun;C2
word_395;definition of word_395;synonym of word_395;noun;B1
word_396;definition of word_396;synonym of word_396;noun;C2
word_397;definition of word_397;synonym of word_397;noun;B1
word_398;definition of word_398;synonym of word_398;noun;C2
word_399;definition of word_399;synonym of word_399;noun;B1
word_400;definition of word_400;synonym of word_400;noun;C2
word_401;definition of word_401;synonym of word_401;noun;B1
word_402;definition of word_402;synonym of word_402;noun;C2
word_403;definition of word_403;synonym of word_403;noun;B1
word_404;definition of word_404;synonym of word_404;noun;C2
word_405;definition of word_405;synonym of word_405;noun;B1
word_406;definition of word_406;synonym of word_406;noun;C2
word_407;definition of word_407;synonym of word_407;noun;B1
word_408;definition of word_408;synonym of word_408;noun;C2
word_409;definition of word_409;synonym of word_409;noun;B1
word_410;definition of word_410;synonym of word_410;noun;C2
word_411;definition of word_411;synonym of word_411;noun;B1
word_412;definition of word_412;synonym of word_412;noun;C2
word_413;definition of word_413;synonym of word_413;noun;B1
word_414;definition of word_414;synonym of word_414;noun;C2
word_415;definition of word_415;synonym of word_415;noun;B1
word_416;definition of word_416;synonym of word_416;noun;C2
word_417;definition of word_417;synonym of word_417;noun;B1
word_418;definition of word_418;synonym of word_418;noun;C2
word_419;definition of word_419;synonym of word_419;noun;B1
word_420;definition of word_420;synonym of word_420;noun;C2
word_421;definition of word_421;synonym of word_421;noun;B1
word_422;definition of word_422;synonym of word_422;noun;C2
word_423;definition of word_423;synonym of word_423;noun;B1
word_424;definition of word_424;synonym of word_424;noun;C2
word_425;definition of word_425;synonym of word_425;noun;B1
word_426;definition of word_426;synonym of word_426;noun;C2
word_427;definition of word_427;synonym of word_427;noun;B1
word_428;definition of word_428;synonym of word_428;noun;C2
word_429;definition of word_429;synonym of word_429;noun;B1
word_430;definition of word_430;synonym of word_430;noun;C2
word_431;definition of word_431;synonym of word_431;noun;B1
word_432;definition of word_432;synonym of word_432;noun;C2
word_433;definition of word_433;synonym of word_433;noun;B1
word_434;definition of word_434;synonym of word_434;noun;C2
word_435;definition of word_435;synonym of word_435;noun;B1
word_436;definition of word_436;synonym of word_436;noun;C2
word_437;definition of word_437;synonym of word_437;noun;B1
word_438;definition of word_438;synonym of word_438;noun;C2
word_439;definition of word_439;synonym of word_439;noun;B1
word_440;definition of word_440;synonym of word_440;noun;C2
word_441;definition of word_441;synonym of word_441;noun;B1
word_442;definition of word_442;synonym of word_442;noun;C2
word_443;definition of word_443;synonym of word_443;noun;B1
word_444;definition of word_444;synonym of word_444;noun;C2
word_445;definition of word_445;synonym of word_445;noun;B1
word_446;definition of word_446;synonym of word_446;noun;C2
word_447;definition of word_447;synonym of word_447;noun;B1
word_448;definition of word_448;synonym of word_448;noun;C2
word_449;definition of word_449;synonym of word_449;noun;B1
word_450;definition of word_450;synonym of word_450;noun;C2
word_451;definition of word_451;synonym of word_451;noun;B1
word_452;definition of word_452;synonym of word_452;noun;C2
word_453;definition of word_453;synonym of word_453;noun;B1
word_454;definition of word_454;synonym of word_454;noun;C2
word_455;definition of word_455;synonym of word_455;noun;B1
word_456;definition of word_456;synonym of word_456;noun;C2
word_457;definition of word_457;synonym of word_457;noun;B1
word_458;definition of word_458;synonym of word_458;noun;C2
word_459;definition of word_459;synonym of word_459;noun;B1
word_460;definition of word_460;synonym of word_460;noun;C2
word_461;definition of word_461;synonym of word_461;noun;B1
word_462;definition of word_462;synonym of word_462;noun;C2
word_463;definition of word_463;synonym of word_463;noun;B1
word_464;definition of word_464;synonym of word_464;noun;C2
word_465;definition of word_465;synonym of word_465;noun;B1
word_466;definition of word_466;synonym of word_466;noun;C2
word_467;definition of word_467;synonym of word_467;noun;B1
word_468;definition of word_468;synonym of word_468;noun;C2
word_469;definition of word_469;synonym of word_469;noun;B1
word_470;definition of word_470;synonym of word_470;noun;C2
word_471;definition of word_471;synonym of word_471;noun;B1
word_472;definition of word_472;synonym of word_472;noun;C2
word_473;definition of word_473;synonym of word_473;noun;B1
word_474;definition of word_474;synonym of word_474;noun;C2
word_475;definition of word_475;synonym of word_475;noun;B1
word_476;definition of word_476;synonym of word_476;noun;C2
word_477;definition of word_477;synonym of word_477;noun;B1
word_478;definition of word_478;synonym of word_478;noun;C2
word_479;definition of word_479;synonym of word_479;noun;B1
word_480;definition of word_480;synonym of word_480;noun;C2
word_481;definition of word_481;synonym of word_481;noun;B1
word_482;definition of word_482;synonym of word_482;noun;C2
word_483;definition of word_483;synonym of word_483;noun;B1
word_484;definition of word_484;synonym of word_484;noun;C2
word_485;definition of word_485;synonym of word_485;noun;B1
word_486;definition of word_486;synonym of word_486;noun;C2
word_487;definition of word_487;synonym of word_487;noun;B1
word_488;definition of word_488;synonym of word_488;noun;C2
word_489;definition of word_489;synonym of word_489;noun;B1
word_490;definition of word_490;synonym of word_490;noun;C2
word_491;definition of word_491;synonym of word_491;noun;B1
word_492;definition of word_492;synonym of word_492;noun;C2
word_493;definition of word_493;synonym of word_493;noun;B1
word_494;definition of word_494;synonym of word_494;noun;C2
word_495;definition of word_495;synonym of word_495;noun;B1
word_496;definition of word_496;synonym of word_496;noun;C2
word_497;definition of word_497;synonym of word_497;noun;B1
word_498;definition of word_498;synonym of word_498;noun;C2
word_499;definition of word_499;synonym of word_499;noun;B1
word_500;definition of word_500;synonym of word_500;noun;C2
word_501;definition of word_501;synonym of word_501;noun;B1
word_502;definition of word_502;synonym of word_502;noun;C2
word_503;definition of word_503;synonym of word_503;noun;B1
word_504;definition of word_504;synonym of word_504;noun;C2
word_505;definition of word_505;synonym of word_505;noun;B1
word_506;definition of word_506;synonym of word_506;noun;C2
word_507;definition of word_507;synonym of word_507;noun;B1
word_508;definition of word_508;synonym of word_508;noun;C2
word_509;definition of word_509;synonym of word_509;noun;B1
word_510;definition of word_510;synonym of word_510;noun;C2
word_511;definition of word_511;synonym of word_511;noun;B1
word_512;definition of word_512;synonym of word_512;noun;C2
word_513;definition of word_513;synonym of word_513;noun;B1
word_514;definition of word_514;synonym of word_514;noun;C2
word_515;definition of word_515;synonym of word_515;noun;B1
word_516;definition of word_516;synonym of word_516;noun;C2
word_517;definition of word_517;synonym of word_517;noun;B1
word_518;definition of word_518;synonym of word_518;noun;C2
word_519;definition of word_519;synonym of word_519;noun;B1
word_520;definition of word_520;synonym of word_520;noun;C2
word_521;definition of word_521;synonym of word_521;noun;B1
word_522;definition of word_522;synonym of word_522;noun;C2
word_523;definition of word_523;synonym of word_523;noun;B1
word_524;definition of word_524;synonym of word_524;noun;C2
word_525;definition of word_525;synonym of word_525;noun;B1
word_526;definition of word_526;synonym of word_526;noun;C2
word_527;definition of word_527;synonym of word_527;noun;B1
word_528;definition of word_528;synonym of word_528;noun;C2
word_529;definition of word_529;synonym of word_529;noun;B1
word_530;definition of word_530;synonym of word_530;noun;C2
word_531;definition of word_531;synonym of word_531;noun;B1
word_532;definition of word_532;synonym of word_532;noun;C2
word_533;definition of word_533;synonym of word_533;noun;B1
word_534;definition of word_534;synonym of word_534;noun;C2
word_535;definition of word_535;synonym of word_535;noun;B1
word_536;definition of word_536;synonym of word_536;noun;C2
word_537;definition of word_537;synonym of word_537;noun;B1
word_538;definition of word_538;synonym of word_538;noun;C2
word_539;definition of word_539;synonym of word_539;noun;B1
word_540;definition of word_540;synonym of word_540;noun;C2
word_541;definition of word_541;synonym of word_541;noun;B1
word_542;definition of word_542;synonym of word_542;noun;C2
word_543;definition of word_543;synonym of word_543;noun;B1
word_544;definition of word_544;synonym of word_544;noun;C2
word_545;definition of word_545;synonym of word_545;noun;B1
word_546;definition of word_546;synonym of word_546;noun;C2
word_547;definition of word_547;synonym of word_547;noun;B1
word_548;definition of word_548;synonym of word_548;noun;C2
word_549;definition of word_549;synonym of word_549;noun;B1
word_550;definition of word_550;synonym of word_550;noun;C2
word_551;definition of word_551;synonym of word_551;noun;B1
word_552;definition of word_552;synonym of word_552;noun;C2
word_553;definition of word_553;synonym of word_553;noun;B1
word_554;definition of word_554;synonym of word_554;noun;C2
word_555;definition of word_555;synonym of word_555;noun;B1
word_556;definition of word_556;synonym of word_556;noun;C2
word_557;definition of word_557;synonym of word_557;noun;B1
word_558;definition of word_558;synonym of word_558;noun;C2
